,state/ut,Name,literacy-group-males,ratio-males,literacy-group-females,ratio-females
0,0,INDIA,Graduate and above,0.35539018329809313,Graduate and above,0.37611264928294924
1,1,JAMMU & KASHMIR,Middle but below matric/secondary,0.5941510881868216,Middle but below matric/secondary,0.5832258480588159
2,2,HIMACHAL PRADESH,Graduate and above,0.21960949817649025,Graduate and above,0.24027219933996777
3,3,PUNJAB,Middle but below matric/secondary,0.3374526276384996,Middle but below matric/secondary,0.3378523424815159
4,4,CHANDIGARH,Matric/Secondary but below graduate,0.32962804617357844,Middle but below matric/secondary,0.3530684276443129
5,5,UTTARAKHAND,Graduate and above,0.34373169188467156,Graduate and above,0.35493948068906633
6,6,HARYANA,Graduate and above,0.4422987117442821,Graduate and above,0.47286239015544845
7,7,NCT OF DELHI,Graduate and above,0.6345213324201222,Graduate and above,0.6322528055311849
8,8,RAJASTHAN,Graduate and above,0.2923335539847391,Graduate and above,0.36297471431422623
9,9,UTTAR PRADESH,Graduate and above,0.4031030686385274,Graduate and above,0.43318717000310586
10,10,BIHAR,Graduate and above,0.27796879917045414,Graduate and above,0.3118093922651934
11,11,SIKKIM,Primary but below middle,0.47196157283288653,Primary but below middle,0.4476264238623269
12,12,ARUNACHAL PRADESH,Literate but below primary,0.5018358336712169,Literate but below primary,0.5131648028560928
13,13,NAGALAND,Primary but below middle,0.49207875511568183,Primary but below middle,0.5182723836699957
14,14,MANIPUR,Middle but below matric/secondary,0.3806051869756181,Matric/Secondary but below graduate,0.36781915430416795
15,15,MIZORAM,Graduate and above,0.6149964439326718,Graduate and above,0.6751269035532995
16,16,TRIPURA,Matric/Secondary but below graduate,0.40048323874861447,Graduate and above,0.3652700697282023
17,17,MEGHALAYA,Matric/Secondary but below graduate,0.40008559893704004,Graduate and above,0.4623371335504886
18,18,ASSAM,Primary but below middle,0.40571175387761055,Primary but below middle,0.3895619994801803
19,19,WEST BENGAL,Graduate and above,0.35289005990598554,Graduate and above,0.35655931883731307
20,20,JHARKHAND,Graduate and above,0.35365945171677843,Graduate and above,0.3992796641274156
21,21,ODISHA,Middle but below matric/secondary,0.29431033034506954,Matric/Secondary but below graduate,0.2824740403159218
22,22,CHHATTISGARH,Graduate and above,0.22891723475566736,Graduate and above,0.29532036956739266
23,23,MADHYA PRADESH,Graduate and above,0.3929288630104328,Graduate and above,0.429425395267459
24,24,GUJARAT,Middle but below matric/secondary,0.5447744608019447,Middle but below matric/secondary,0.5372768046035373
25,25,DAMAN & DIU,Matric/Secondary but below graduate,0.41668316940612143,Middle but below matric/secondary,0.5504892006645745
26,26,DADRA & NAGAR HAVELI,Literate but below primary,0.5088228085940691,Literate but below primary,0.5465231185312321
27,27,MAHARASHTRA,Middle but below matric/secondary,0.5115785001955828,Middle but below matric/secondary,0.4944964460086528
28,28,ANDHRA PRADESH,Graduate and above,0.36823539581051923,Graduate and above,0.3761791270410564
29,29,KARNATAKA,Matric/Secondary but below graduate,0.3257123124217423,Matric/Secondary but below graduate,0.3265689464455364
30,30,GOA,Literate but below primary,0.4759804713219126,Literate but below primary,0.4921540479667351
31,31,LAKSHADWEEP,Matric/Secondary but below graduate,0.2362537764350453,Graduate and above,0.2571090047393365
32,32,KERALA,Graduate and above,0.37812285651654326,Graduate and above,0.3882791601338586
33,33,TAMIL NADU,Graduate and above,0.5977158003194264,Graduate and above,0.6045411392405063
34,34,PUDUCHERRY,Graduate and above,0.6357036813366549,Graduate and above,0.6372807648648217
35,35,ANDAMAN & NICOBAR ISLANDS,Primary but below middle,0.6501845991561181,Primary but below middle,0.630004918839154
